0.00000e+00	2.90909e-03	0.00000e+00	0.00000e+00	0.00000e+00	3.30281e+02	8.69134e-01	7.88073e-01
0.00000e+00	8.72727e-03	0.00000e+00	0.00000e+00	0.00000e+00	3.55239e+02	8.08061e-01	7.99170e-01
0.00000e+00	1.45455e-02	0.00000e+00	0.00000e+00	0.00000e+00	3.79225e+02	7.56947e-01	8.10911e-01
0.00000e+00	2.03636e-02	0.00000e+00	0.00000e+00	0.00000e+00	4.07671e+02	7.04123e-01	8.20659e-01
0.00000e+00	2.61818e-02	-0.00000e+00	0.00000e+00	0.00000e+00	5.52502e+02	5.19531e-01	8.27348e-01
0.00000e+00	3.20000e-02	-0.00000e+00	0.00000e+00	0.00000e+00	5.74827e+02	4.99352e-01	8.29439e-01
0.00000e+00	3.78182e-02	-0.00000e+00	0.00000e+00	0.00000e+00	5.52502e+02	5.19531e-01	8.27347e-01
0.00000e+00	4.36364e-02	0.00000e+00	0.00000e+00	0.00000e+00	4.07671e+02	7.04123e-01	8.20657e-01
0.00000e+00	4.94545e-02	0.00000e+00	0.00000e+00	0.00000e+00	3.79225e+02	7.56947e-01	8.10907e-01
0.00000e+00	5.52727e-02	0.00000e+00	0.00000e+00	0.00000e+00	3.55239e+02	8.08061e-01	7.99165e-01
0.00000e+00	6.10909e-02	0.00000e+00	0.00000e+00	0.00000e+00	3.30281e+02	8.69134e-01	7.88067e-01

3.04167e-03	2.90909e-03	6.95996e-05	7.37091e-05	-2.90754e+04	3.49919e+02	5.84200e-01	7.88073e-01
3.04167e-03	8.72727e-03	8.62711e-05	1.53981e-04	-2.90754e+04	3.90060e+02	5.24071e-01	7.99170e-01
3.04167e-03	1.45455e-02	6.67396e-05	1.50847e-04	-2.90754e+04	4.28636e+02	4.76902e-01	8.10911e-01
3.04167e-03	2.03636e-02	3.78259e-05	1.26612e-04	-2.90754e+04	4.74388e+02	4.30904e-01	8.20659e-01
3.04167e-03	2.61818e-02	7.05732e-06	7.57043e-05	-2.90754e+04	5.52502e+02	3.69977e-01	8.27348e-01
3.04167e-03	3.20000e-02	-4.06621e-06	1.96357e-09	-2.90754e+04	5.74827e+02	3.55607e-01	8.29439e-01
3.04167e-03	3.78182e-02	7.05793e-06	-7.57011e-05	-2.90754e+04	5.52502e+02	3.69977e-01	8.27347e-01
3.04167e-03	4.36364e-02	3.78271e-05	-1.26610e-04	-2.90754e+04	4.74388e+02	4.30904e-01	8.20657e-01
