# t[s]  pbar[Pa]  Tvent[K]  uvent[m/s]  m_in[kg/s/m]  m_vent[kg/s/m]  massErr  xf[m]  K2CO3[kg/m]  Tvent_fw[K]  mdotK2_vent[kg/s/m]  MK2_vented[kg/m]  pvent[Pa]
5.20000e-04	-3.68239e+01	2.97943e+02	6.20374e-01	2.64683e-03	1.04473e-02	-4.37531e-04	9.12501e-03	5.71282e-07	2.97806e+02	1.07970e-08	8.33227e-13	-6.22189e+00
5.40000e-04	-4.34703e+01	2.97424e+02	8.39160e-01	2.74809e-03	1.41239e-02	2.43823e-03	9.12501e-03	6.15220e-07	2.97132e+02	1.99911e-08	1.23305e-12	-3.38252e+01
5.60000e-04	-6.41285e+01	2.97878e+02	9.88264e-01	2.84993e-03	1.66484e-02	6.01036e-03	9.12501e-03	6.60786e-07	2.97727e+02	2.69063e-08	1.77118e-12	4.85127e+00
5.80000e-04	-5.90796e+01	2.97370e+02	7.66975e-01	2.95145e-03	1.29114e-02	3.57448e-03	9.12501e-03	7.07976e-07	2.97110e+02	2.57023e-08	2.28522e-12	-3.58537e+01
6.00000e-04	-6.49910e+01	2.97668e+02	2.43453e-01	3.05336e-03	4.10394e-03	-4.23605e-03	9.12501e-03	7.56795e-07	2.97354e+02	1.12175e-08	2.50957e-12	-1.55951e+01
6.20000e-04	-4.10744e+01	2.97832e+02	3.74670e-01	3.15500e-03	6.31382e-03	-1.46092e-03	9.12502e-03	8.07239e-07	2.97593e+02	1.83823e-08	2.87722e-12	-8.55219e+00
6.40000e-04	-1.43743e+01	2.97190e+02	9.04484e-01	3.25705e-03	1.52206e-02	6.71943e-03	9.12502e-03	8.59315e-07	2.97144e+02	3.76526e-08	3.63027e-12	-4.79581e+01
6.60000e-04	-3.18174e+01	2.97005e+02	7.33423e-01	3.35921e-03	1.23578e-02	4.05574e-03	9.12502e-03	9.13024e-07	2.96656e+02	4.52399e-08	4.53507e-12	-4.00374e+01
6.80000e-04	-3.92290e+01	2.97265e+02	4.29934e-01	3.46069e-03	7.25290e-03	-1.10885e-03	9.12502e-03	9.68356e-07	2.97032e+02	3.15082e-08	5.16523e-12	-4.78388e+01
7.00000e-04	-4.06573e+01	2.96525e+02	1.15966e+00	3.56238e-03	1.95581e-02	7.49180e-03	9.12502e-03	1.02531e-06	2.96053e+02	1.08911e-07	7.34345e-12	-5.79047e+01
