[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models\Control_Engineering] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte\Install_Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\common] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks\sfunctions] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\ref3ma] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Callibration_check_Robot_Ipos_ert_rtw] 
xKN=0.65 | yK2=0.444 | f_gas=0.556 | dTad=1481 K | T_flame=1779 K | R=352 J/kg/K
step	 time	 iter	 pbar[Pa] Tvent[K] uvent[m/s] m_in	 m_vent	 massErr	 xf[mm]
16600    0.3320   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.35
16700    0.3340   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.36
16800    0.3360   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.37
16900    0.3380   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.38
17000    0.3400   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.39
17100    0.3420   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.39
17200    0.3440   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.40
17300    0.3460   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.41
17400    0.3480   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.42
17500    0.3500   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.43
17600    0.3520   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.44
17700    0.3540   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.44
17800    0.3560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.45
17900    0.3580   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.46
18000    0.3600   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.47
18100    0.3620   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.48
18200    0.3640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.48
18300    0.3660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.49
18400    0.3680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.50
18500    0.3700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.51
18600    0.3720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.52
18700    0.3740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.52
18800    0.3760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.53
18900    0.3780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.54
19000    0.3800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.55
19100    0.3820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.56
19200    0.3840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.56
19300    0.3860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.57
19400    0.3880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.58
19500    0.3900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.59
19600    0.3920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.60
19700    0.3940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.60
19800    0.3960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.61
19900    0.3980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.62
20000    0.4000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.63
20100    0.4020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.64
20200    0.4040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.64
20300    0.4060   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.65
20400    0.4080   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.66
20500    0.4100   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.67
20600    0.4120   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.68
20700    0.4140   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.68
20800    0.4160   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.69
20900    0.4180   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.70
21000    0.4200   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.71
21100    0.4220   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.72
21200    0.4240   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.72
21300    0.4260   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.73
21400    0.4280   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.74
21500    0.4300   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.75
21600    0.4320   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.76
21700    0.4340   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.76
21800    0.4360   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.77
21900    0.4380   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.78
22000    0.4400   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.79
22100    0.4420   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.80
22200    0.4440   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.80
22300    0.4460   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.81
22400    0.4480   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.82
22500    0.4500   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.83
22600    0.4520   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.84
22700    0.4540   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.84
22800    0.4560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.85
22900    0.4580   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.86
23000    0.4600   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.87
23100    0.4620   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.88
23200    0.4640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.88
23300    0.4660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.89
23400    0.4680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.90
23500    0.4700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.91
23600    0.4720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.92
23700    0.4740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.92
23800    0.4760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.93
23900    0.4780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.94
24000    0.4800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.95
24100    0.4820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.96
24200    0.4840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.96
24300    0.4860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.97
24400    0.4880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.98
24500    0.4900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.99
24600    0.4920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.00
24700    0.4940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.00
24800    0.4960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.01
24900    0.4980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.02
25000    0.5000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.03
25100    0.5020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.04
25200    0.5040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.04
25300    0.5060   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.05
25400    0.5080   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.06
25500    0.5100   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.07
25600    0.5120   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.08
25700    0.5140   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.08
25800    0.5160   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.09
25900    0.5180   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.10
26000    0.5200   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.11
26100    0.5220   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.12
26200    0.5240   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.12
26300    0.5260   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.13
26400    0.5280   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.14
26500    0.5300   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.15
26600    0.5320   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.16
26700    0.5340   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.16
26800    0.5360   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.17
26900    0.5380   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.18
27000    0.5400   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.19
27100    0.5420   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.20
27200    0.5440   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.20
27300    0.5460   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.21
27400    0.5480   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.22
27500    0.5500   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.23
27600    0.5520   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.24
27700    0.5540   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.24
27800    0.5560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.25
27900    0.5580   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.26
28000    0.5600   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.27
28100    0.5620   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.28
28200    0.5640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.28
28300    0.5660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.29
28400    0.5680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.30
28500    0.5700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.31
28600    0.5720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.32
28700    0.5740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.32
28800    0.5760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.33
28900    0.5780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.34
29000    0.5800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.35
29100    0.5820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.36
29200    0.5840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.36
29300    0.5860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.37
29400    0.5880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.38
29500    0.5900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.39
29600    0.5920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.40
29700    0.5940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.40
29800    0.5960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.41
29900    0.5980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.42
30000    0.6000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.43
30100    0.6020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.44
30200    0.6040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.44
30300    0.6060   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.45
30400    0.6080   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.46
30500    0.6100   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.47
30600    0.6120   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.48
30700    0.6140   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.49
30800    0.6160   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.49
30900    0.6180   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.50
31000    0.6200   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.51
31100    0.6220   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.52
31200    0.6240   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.53
31300    0.6260   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.53
31400    0.6280   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.54
31500    0.6300   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.55
31600    0.6320   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.56
31700    0.6340   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.57
31800    0.6360   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.57
31900    0.6380   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.58
32000    0.6400   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.59
32100    0.6420   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.60
32200    0.6440   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.61
32300    0.6460   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.61
32400    0.6480   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.62
32500    0.6500   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.63
32600    0.6520   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.64
32700    0.6540   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.65
32800    0.6560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.65
32900    0.6580   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.66
33000    0.6600   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.67
33100    0.6620   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.68
33200    0.6640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.69
33300    0.6660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.69
33400    0.6680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.70
33500    0.6700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.71
33600    0.6720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.72
33700    0.6740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.73
33800    0.6760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.73
33900    0.6780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.74
34000    0.6800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.75
34100    0.6820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.76
34200    0.6840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.77
34300    0.6860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.77
34400    0.6880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.78
34500    0.6900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.79
34600    0.6920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.80
34700    0.6940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.81
34800    0.6960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.81
34900    0.6980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.82
35000    0.7000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.83
35100    0.7020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.84
35200    0.7040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.85
35300    0.7060   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.85
35400    0.7080   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.86
35500    0.7100   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.87
35600    0.7120   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.88
35700    0.7140   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.89
35800    0.7160   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.89
35900    0.7180   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.90
36000    0.7200   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.91
36100    0.7220   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.92
36200    0.7240   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.93
36300    0.7260   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.93
36400    0.7280   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.94
36500    0.7300   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.95
36600    0.7320   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.96
36700    0.7340   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.97
36800    0.7360   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.97
36900    0.7380   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.98
37000    0.7400   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   11.99
37100    0.7420   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.00
37200    0.7440   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.01
37300    0.7460   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.01
37400    0.7480   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.02
37500    0.7500   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.03
37600    0.7520   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.04
37700    0.7540   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.05
37800    0.7560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.05
37900    0.7580   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.06
38000    0.7600   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.07
38100    0.7620   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.08
38200    0.7640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.09
38300    0.7660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.09
38400    0.7680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.10
38500    0.7700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.11
38600    0.7720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.12
38700    0.7740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.13
38800    0.7760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.13
38900    0.7780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.14
39000    0.7800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.15
39100    0.7820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.16
39200    0.7840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   12.17
39300    0.7860   1   2451.88   1779.7    91.09  2.56e-01  2.61e-01  4.82e-03   12.17
39400    0.7880   1   2451.60   1779.0    91.06  2.56e-01  2.61e-01  4.82e-03   12.18
39500    0.7900   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.19
39600    0.7920   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.20
39700    0.7940   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.21
39800    0.7960   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.21
39900    0.7980   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.22
40000    0.8000   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.23
40100    0.8020   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.24
40200    0.8040   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.25
40300    0.8060   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.25
40400    0.8080   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.26
40500    0.8100   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.27
40600    0.8120   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.28
40700    0.8140   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.29
40800    0.8160   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.29
40900    0.8180   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.30
41000    0.8200   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.31
41100    0.8220   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.32
41200    0.8240   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.33
41300    0.8260   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.33
41400    0.8280   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.34
41500    0.8300   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.35
41600    0.8320   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.36
41700    0.8340   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.37
41800    0.8360   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.37
41900    0.8380   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.38
42000    0.8400   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.39
42100    0.8420   1   2451.55   1778.9    91.06  2.56e-01  2.61e-01  4.82e-03   12.40
