[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models\Control_Engineering] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte\Install_Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\common] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks\sfunctions] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\ref3ma] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Callibration_check_Robot_Ipos_ert_rtw] 
xKN=0.65 | yK2=0.444 | f_gas=0.556 | dTad=1481 K | T_flame=1779 K | R=352 J/kg/K
step	 time	 iter	 pbar[Pa] Tvent[K] uvent[m/s] m_in	 m_vent	 massErr	 xf[mm]
 3500    0.0700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.30
 3600    0.0720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.31
 3700    0.0740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.32
 3800    0.0760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.33
 3900    0.0780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.34
 4000    0.0800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.35
 4100    0.0820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.35
 4200    0.0840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.36
 4300    0.0860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.37
 4400    0.0880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.38
 4500    0.0900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.39
 4600    0.0920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.39
 4700    0.0940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.40
 4800    0.0960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.41
 4900    0.0980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.42
 5000    0.1000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.43
 5100    0.1020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.43
 5200    0.1040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.44
 5300    0.1060   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.45
 5400    0.1080   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.46
 5500    0.1100   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.47
 5600    0.1120   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.47
 5700    0.1140   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.48
 5800    0.1160   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.49
 5900    0.1180   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.50
 6000    0.1200   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.51
 6100    0.1220   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.51
 6200    0.1240   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.52
 6300    0.1260   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.53
 6400    0.1280   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.54
 6500    0.1300   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.55
 6600    0.1320   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.55
 6700    0.1340   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.56
 6800    0.1360   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.57
 6900    0.1380   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.58
 7000    0.1400   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.59
 7100    0.1420   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.59
 7200    0.1440   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.60
 7300    0.1460   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.61
 7400    0.1480   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.62
 7500    0.1500   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.63
 7600    0.1520   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.63
 7700    0.1540   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.64
 7800    0.1560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.65
 7900    0.1580   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.66
 8000    0.1600   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.67
 8100    0.1620   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.67
 8200    0.1640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.68
 8300    0.1660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.69
 8400    0.1680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.70
 8500    0.1700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.71
 8600    0.1720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.71
 8700    0.1740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.72
 8800    0.1760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.73
 8900    0.1780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.74
 9000    0.1800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.75
 9100    0.1820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.75
 9200    0.1840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.76
 9300    0.1860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.77
 9400    0.1880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.78
 9500    0.1900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.79
 9600    0.1920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.79
 9700    0.1940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.80
 9800    0.1960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.81
 9900    0.1980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.82
10000    0.2000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.83
10100    0.2020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.83
10200    0.2040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.84
