Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
  943    0.943   1533.9    887.2  4.342e-04  3.718e-01  0.3375  2.09e-08
  944    0.944   1532.8    886.9  4.347e-04  3.717e-01  0.3368  1.73e-08
  945    0.945   1531.7    886.5  4.351e-04  3.706e-01  0.3362  5.85e-09
  946    0.946   1530.6    886.2  4.355e-04  3.691e-01  0.3356  2.63e-08
  947    0.947   1529.4    885.8  4.359e-04  3.676e-01  0.3351  5.95e-08
  948    0.948   1528.1    885.4  4.363e-04  3.650e-01  0.3345  8.19e-08
  949    0.949   1526.8    885.1  4.366e-04  3.623e-01  0.3341  1.24e-07
  950    0.950   1525.5    884.7  4.370e-04  3.599e-01  0.3335  1.58e-07
  951    0.951   1524.1    884.4  4.373e-04  3.567e-01  0.3330  1.73e-07
  952    0.952   1522.7    884.0  4.376e-04  3.531e-01  0.3326  2.01e-07
  953    0.953   1521.2    883.6  4.380e-04  3.497e-01  0.3322  2.34e-07
  954    0.954   1519.7    883.3  4.383e-04  3.468e-01  0.3317  2.52e-07
  955    0.955   1518.2    882.9  4.387e-04  3.432e-01  0.3312  2.51e-07
  956    0.956   1516.6    882.6  4.390e-04  3.396e-01  0.3308  2.68e-07
  957    0.957   1515.1    882.2  4.393e-04  3.366e-01  0.3304  2.80e-07
  958    0.958   1514.2    881.9  4.397e-04  3.339e-01  0.3299  2.74e-07
  959    0.959   1513.5    881.5  4.401e-04  3.309e-01  0.3295  2.60e-07
  960    0.960   1512.8    881.2  4.405e-04  3.281e-01  0.3290  2.60e-07
  961    0.961   1512.0    880.8  4.408e-04  3.261e-01  0.3286  2.53e-07
  962    0.962   1511.3    880.4  4.413e-04  3.254e-01  0.3281  2.30e-07
  963    0.963   1510.5    880.1  4.419e-04  3.269e-01  0.3274  1.80e-07
  964    0.964   1509.8    879.7  4.426e-04  3.297e-01  0.3267  9.16e-08
  965    0.965   1509.2    879.4  4.436e-04  3.356e-01  0.3257  5.95e-09
  966    0.966   1508.6    879.0  4.446e-04  3.417e-01  0.3246  1.48e-07
  967    0.967   1508.5    878.7  4.456e-04  3.475e-01  0.3235  2.53e-07
  968    0.968   1509.7    878.3  4.465e-04  3.519e-01  0.3224  3.19e-07
  969    0.969   1515.0    878.0  4.473e-04  3.549e-01  0.3215  3.29e-07
  970    0.970   1528.7    877.6  4.479e-04  3.571e-01  0.3207  3.03e-07
  971    0.971   1536.6    877.3  4.485e-04  3.588e-01  0.3199  2.61e-07
  972    0.972   1539.4    876.9  4.491e-04  3.599e-01  0.3191  2.23e-07
  973    0.973   1539.4    876.6  4.496e-04  3.606e-01  0.3184  1.81e-07
  974    0.974   1538.6    876.2  4.502e-04  3.615e-01  0.3177  1.39e-07
  975    0.975   1537.0    875.9  4.507e-04  3.624e-01  0.3170  1.17e-07
  976    0.976   1536.6    875.5  4.512e-04  3.633e-01  0.3163  1.01e-07
  977    0.977   1536.8    875.2  4.518e-04  3.643e-01  0.3156  9.10e-08
  978    0.978   1536.6    874.8  4.523e-04  3.650e-01  0.3148  8.49e-08
  979    0.979   1536.1    874.5  4.528e-04  3.653e-01  0.3142  7.54e-08
  980    0.980   1535.4    874.1  4.534e-04  3.661e-01  0.3135  5.54e-08
  981    0.981   1534.5    873.8  4.539e-04  3.665e-01  0.3128  5.67e-08
  982    0.982   1533.5    873.4  4.544e-04  3.661e-01  0.3121  4.66e-08
  983    0.983   1532.4    873.1  4.548e-04  3.656e-01  0.3115  2.08e-08
  984    0.984   1531.3    872.7  4.552e-04  3.641e-01  0.3109  3.26e-09
  985    0.985   1530.1    872.4  4.556e-04  3.625e-01  0.3103  4.13e-08
  986    0.986   1528.9    872.1  4.560e-04  3.605e-01  0.3098  7.16e-08
  987    0.987   1527.6    871.7  4.563e-04  3.579e-01  0.3093  1.01e-07
  988    0.988   1526.2    871.4  4.567e-04  3.553e-01  0.3088  1.39e-07
  989    0.989   1524.9    871.0  4.571e-04  3.526e-01  0.3083  1.64e-07
  990    0.990   1523.5    870.7  4.574e-04  3.490e-01  0.3078  1.84e-07
  991    0.991   1522.0    870.3  4.577e-04  3.453e-01  0.3074  2.19e-07
  992    0.992   1520.5    870.0  4.580e-04  3.421e-01  0.3069  2.47e-07
  993    0.993   1519.0    869.7  4.584e-04  3.389e-01  0.3065  2.55e-07
  994    0.994   1517.4    869.3  4.587e-04  3.353e-01  0.3060  2.60e-07
  995    0.995   1515.9    869.0  4.590e-04  3.320e-01  0.3056  2.73e-07
  996    0.996   1514.5    868.6  4.594e-04  3.295e-01  0.3051  2.74e-07
  997    0.997   1513.7    868.3  4.598e-04  3.263e-01  0.3047  2.56e-07
  998    0.998   1513.0    867.9  4.601e-04  3.232e-01  0.3043  2.60e-07
  999    0.999   1512.3    867.6  4.605e-04  3.205e-01  0.3038  2.62e-07
 1000    1.000   1511.5    867.3  4.609e-04  3.187e-01  0.3034  2.52e-07
 1001    1.001   1510.8    866.9  4.614e-04  3.185e-01  0.3028  2.22e-07
 1002    1.002   1510.0    866.6  4.620e-04  3.197e-01  0.3022  1.64e-07
 1003    1.003   1509.3    866.2  4.627e-04  3.227e-01  0.3014  8.57e-08
 1004    1.004   1508.7    865.9  4.637e-04  3.289e-01  0.3004  1.35e-08
 1005    1.005   1508.1    865.6  4.648e-04  3.356e-01  0.2993  1.62e-07
 1006    1.006   1508.2    865.2  4.657e-04  3.407e-01  0.2982  2.76e-07
 1007    1.007   1509.4    864.9  4.666e-04  3.447e-01  0.2972  3.16e-07
 1008    1.008   1515.0    864.5  4.673e-04  3.476e-01  0.2963  3.17e-07
 1009    1.009   1529.0    864.2  4.680e-04  3.498e-01  0.2954  2.90e-07
 1010    1.010   1536.7    863.9  4.686e-04  3.516e-01  0.2946  2.55e-07
 1011    1.011   1539.5    863.5  4.692e-04  3.527e-01  0.2939  2.17e-07
 1012    1.012   1539.4    863.2  4.697e-04  3.537e-01  0.2932  1.78e-07
 1013    1.013   1538.5    862.9  4.703e-04  3.547e-01  0.2925  1.45e-07
 1014    1.014   1536.6    862.5  4.708e-04  3.560e-01  0.2917  1.23e-07
 1015    1.015   1536.4    862.2  4.714e-04  3.574e-01  0.2910  1.16e-07
 1016    1.016   1536.6    861.9  4.720e-04  3.583e-01  0.2903  1.12e-07
 1017    1.017   1536.4    861.5  4.725e-04  3.590e-01  0.2896  9.92e-08
 1018    1.018   1535.9    861.2  4.730e-04  3.596e-01  0.2889  8.25e-08
 1019    1.019   1535.1    860.9  4.736e-04  3.608e-01  0.2881  7.11e-08
 1020    1.020   1534.2    860.5  4.741e-04  3.606e-01  0.2875  7.66e-08
 1021    1.021   1533.2    860.2  4.745e-04  3.602e-01  0.2868  4.51e-08
 1022    1.022   1532.1    859.9  4.750e-04  3.591e-01  0.2862  1.88e-08
 1023    1.023   1530.9    859.5  4.753e-04  3.574e-01  0.2857  1.64e-08
 1024    1.024   1529.7    859.2  4.757e-04  3.558e-01  0.2851  5.54e-08
 1025    1.025   1528.5    858.9  4.761e-04  3.536e-01  0.2846  7.99e-08
 1026    1.026   1527.1    858.5  4.765e-04  3.510e-01  0.2841  1.13e-07
 1027    1.027   1525.7    858.2  4.768e-04  3.485e-01  0.2835  1.46e-07
 1028    1.028   1524.3    857.9  4.772e-04  3.452e-01  0.2831  1.65e-07
 1029    1.029   1522.9    857.5  4.775e-04  3.415e-01  0.2826  1.99e-07
 1030    1.030   1521.4    857.2  4.778e-04  3.378e-01  0.2822  2.33e-07
 1031    1.031   1519.9    856.9  4.781e-04  3.349e-01  0.2817  2.54e-07
 1032    1.032   1518.4    856.6  4.785e-04  3.315e-01  0.2813  2.53e-07
 1033    1.033   1516.8    856.2  4.788e-04  3.281e-01  0.2809  2.62e-07
 1034    1.034   1515.3    855.9  4.792e-04  3.252e-01  0.2804  2.70e-07
 1035    1.035   1514.1    855.6  4.796e-04  3.222e-01  0.2799  2.61e-07
 1036    1.036   1513.3    855.2  4.799e-04  3.189e-01  0.2795  2.59e-07
 1037    1.037   1512.6    854.9  4.802e-04  3.158e-01  0.2791  2.64e-07
 1038    1.038   1511.8    854.6  4.806e-04  3.132e-01  0.2787  2.63e-07
 1039    1.039   1511.1    854.3  4.810e-04  3.118e-01  0.2782  2.48e-07
 1040    1.040   1510.3    853.9  4.815e-04  3.120e-01  0.2776  2.11e-07
 1041    1.041   1509.6    853.6  4.821e-04  3.131e-01  0.2770  1.45e-07
 1042    1.042   1508.9    853.3  4.829e-04  3.163e-01  0.2762  7.55e-08
 1043    1.043   1508.3    853.0  4.839e-04  3.230e-01  0.2752  2.56e-08
 1044    1.044   1507.7    852.6  4.850e-04  3.294e-01  0.2740  1.79e-07
 1045    1.045   1508.0    852.3  4.859e-04  3.341e-01  0.2730  2.81e-07
 1046    1.046   1509.2    852.0  4.868e-04  3.379e-01  0.2720  3.09e-07
 1047    1.047   1515.1    851.7  4.875e-04  3.407e-01  0.2711  3.05e-07
 1048    1.048   1529.3    851.3  4.882e-04  3.431e-01  0.2702  2.80e-07
 1049    1.049   1536.8    851.0  4.888e-04  3.448e-01  0.2695  2.50e-07
 1050    1.050   1539.5    850.7  4.894e-04  3.460e-01  0.2687  2.14e-07
 1051    1.051   1539.3    850.4  4.899e-04  3.473e-01  0.2680  1.77e-07
 1052    1.052   1538.3    850.0  4.905e-04  3.484e-01  0.2673  1.52e-07
 1053    1.053   1536.7    849.7  4.911e-04  3.502e-01  0.2665  1.31e-07
 1054    1.054   1536.3    849.4  4.917e-04  3.516e-01  0.2657  1.33e-07
 1055    1.055   1536.4    849.1  4.922e-04  3.527e-01  0.2650  1.23e-07
 1056    1.056   1536.2    848.8  4.928e-04  3.534e-01  0.2643  1.11e-07
 1057    1.057   1535.7    848.4  4.933e-04  3.546e-01  0.2636  9.20e-08
 1058    1.058   1534.9    848.1  4.939e-04  3.551e-01  0.2628  8.99e-08
 1059    1.059   1533.9    847.8  4.943e-04  3.547e-01  0.2622  7.23e-08
 1060    1.060   1532.9    847.5  4.948e-04  3.543e-01  0.2615  3.83e-08
 1061    1.061   1531.8    847.2  4.952e-04  3.528e-01  0.2610  1.63e-08
 1062    1.062   1530.6    846.8  4.956e-04  3.510e-01  0.2604  2.71e-08
 1063    1.063   1529.4    846.5  4.960e-04  3.495e-01  0.2599  6.53e-08
 1064    1.064   1528.1    846.2  4.963e-04  3.471e-01  0.2593  8.45e-08
 1065    1.065   1526.7    845.9  4.967e-04  3.445e-01  0.2588  1.21e-07
 1066    1.066   1525.3    845.6  4.971e-04  3.418e-01  0.2583  1.51e-07
 1067    1.067   1523.8    845.3  4.974e-04  3.381e-01  0.2579  1.73e-07
 1068    1.068   1522.4    844.9  4.976e-04  3.344e-01  0.2575  2.11e-07
 1069    1.069   1520.9    844.6  4.980e-04  3.309e-01  0.2570  2.42e-07
 1070    1.070   1519.4    844.3  4.983e-04  3.280e-01  0.2565  2.55e-07
 1071    1.071   1517.8    844.0  4.987e-04  3.246e-01  0.2561  2.51e-07
 1072    1.072   1516.3    843.7  4.990e-04  3.214e-01  0.2557  2.61e-07
 1073    1.073   1514.8    843.4  4.994e-04  3.187e-01  0.2552  2.62e-07
 1074    1.074   1513.7    843.1  4.998e-04  3.153e-01  0.2548  2.51e-07
 1075    1.075   1513.0    842.7  5.001e-04  3.120e-01  0.2544  2.59e-07
 1076    1.076   1512.2    842.4  5.004e-04  3.089e-01  0.2540  2.66e-07
 1077    1.077   1511.5    842.1  5.008e-04  3.066e-01  0.2535  2.62e-07
 1078    1.078   1510.7    841.8  5.012e-04  3.055e-01  0.2531  2.42e-07
 1079    1.079   1510.0    841.5  5.018e-04  3.057e-01  0.2525  1.98e-07
 1080    1.080   1509.2    841.2  5.024e-04  3.069e-01  0.2518  1.34e-07
 1081    1.081   1508.5    840.9  5.032e-04  3.105e-01  0.2510  6.61e-08
 1082    1.082   1507.9    840.5  5.042e-04  3.175e-01  0.2499  3.99e-08
 1083    1.083   1507.3    840.2  5.053e-04  3.234e-01  0.2488  1.97e-07
 1084    1.084   1507.8    839.9  5.062e-04  3.279e-01  0.2478  2.77e-07
 1085    1.085   1509.0    839.6  5.070e-04  3.315e-01  0.2468  3.00e-07
 1086    1.086   1515.2    839.3  5.078e-04  3.343e-01  0.2459  2.95e-07
 1087    1.087   1529.6    839.0  5.084e-04  3.367e-01  0.2451  2.71e-07
 1088    1.088   1536.9    838.7  5.091e-04  3.385e-01  0.2443  2.46e-07
 1089    1.089   1539.5    838.4  5.097e-04  3.398e-01  0.2435  2.12e-07
 1090    1.090   1539.2    838.1  5.102e-04  3.414e-01  0.2428  1.78e-07
 1091    1.091   1538.2    837.7  5.108e-04  3.426e-01  0.2420  1.60e-07
 1092    1.092   1536.9    837.4  5.114e-04  3.447e-01  0.2412  1.40e-07
 1093    1.093   1536.3    837.1  5.120e-04  3.460e-01  0.2405  1.46e-07
 1094    1.094   1536.3    836.8  5.126e-04  3.474e-01  0.2397  1.31e-07
 1095    1.095   1536.0    836.5  5.131e-04  3.483e-01  0.2390  1.22e-07
 1096    1.096   1535.5    836.2  5.137e-04  3.494e-01  0.2383  1.04e-07
 1097    1.097   1534.7    835.9  5.142e-04  3.494e-01  0.2376  9.77e-08
 1098    1.098   1533.7    835.6  5.147e-04  3.490e-01  0.2370  6.68e-08
 1099    1.099   1532.7    835.3  5.151e-04  3.482e-01  0.2363  3.37e-08
 1100    1.100   1531.6    835.0  5.155e-04  3.466e-01  0.2358  3.44e-09
 1101    1.101   1530.3    834.7  5.159e-04  3.448e-01  0.2352  4.05e-08
 1102    1.102   1529.1    834.4  5.163e-04  3.431e-01  0.2347  7.38e-08
 1103    1.103   1527.8    834.1  5.166e-04  3.406e-01  0.2342  9.56e-08
 1104    1.104   1526.4    833.8  5.170e-04  3.380e-01  0.2336  1.29e-07
 1105    1.105   1525.0    833.5  5.173e-04  3.349e-01  0.2332  1.53e-07
 1106    1.106   1523.5    833.2  5.176e-04  3.312e-01  0.2327  1.85e-07
 1107    1.107   1522.0    832.9  5.179e-04  3.275e-01  0.2323  2.21e-07
 1108    1.108   1520.5    832.5  5.183e-04  3.242e-01  0.2319  2.46e-07
 1109    1.109   1518.9    832.2  5.186e-04  3.212e-01  0.2314  2.52e-07
 1110    1.110   1517.4    831.9  5.190e-04  3.179e-01  0.2310  2.52e-07
 1111    1.111   1515.9    831.6  5.194e-04  3.151e-01  0.2305  2.57e-07
 1112    1.112   1514.5    831.3  5.197e-04  3.120e-01  0.2300  2.51e-07
 1113    1.113   1513.4    831.0  5.201e-04  3.086e-01  0.2296  2.51e-07
 1114    1.114   1512.6    830.7  5.204e-04  3.052e-01  0.2292  2.61e-07
 1115    1.115   1511.9    830.4  5.207e-04  3.023e-01  0.2288  2.65e-07
 1116    1.116   1511.1    830.1  5.211e-04  3.002e-01  0.2284  2.57e-07
 1117    1.117   1510.4    829.8  5.216e-04  2.994e-01  0.2279  2.32e-07
 1118    1.118   1509.6    829.5  5.221e-04  2.996e-01  0.2273  1.83e-07
 1119    1.119   1508.9    829.2  5.227e-04  3.010e-01  0.2267  1.25e-07
 1120    1.120   1508.2    828.9  5.235e-04  3.050e-01  0.2259  5.49e-08
 1121    1.121   1507.6    828.6  5.246e-04  3.116e-01  0.2248  5.70e-08
 1122    1.122   1507.0    828.3  5.256e-04  3.172e-01  0.2237  1.96e-07
 1123    1.123   1507.6    828.0  5.265e-04  3.216e-01  0.2226  2.70e-07
 1124    1.124   1508.8    827.7  5.274e-04  3.252e-01  0.2217  2.93e-07
 1125    1.125   1515.2    827.4  5.281e-04  3.280e-01  0.2208  2.88e-07
 1126    1.126   1529.8    827.1  5.288e-04  3.304e-01  0.2199  2.67e-07
 1127    1.127   1537.0    826.8  5.294e-04  3.323e-01  0.2191  2.41e-07
 1128    1.128   1539.5    826.5  5.300e-04  3.337e-01  0.2184  2.12e-07
 1129    1.129   1539.1    826.2  5.306e-04  3.354e-01  0.2176  1.81e-07
 1130    1.130   1538.1    825.9  5.312e-04  3.370e-01  0.2168  1.64e-07
 1131    1.131   1536.8    825.6  5.319e-04  3.393e-01  0.2160  1.50e-07
 1132    1.132   1536.1    825.3  5.325e-04  3.406e-01  0.2153  1.58e-07
 1133    1.133   1536.1    825.1  5.330e-04  3.419e-01  0.2145  1.40e-07
 1134    1.134   1535.9    824.8  5.336e-04  3.432e-01  0.2138  1.27e-07
 1135    1.135   1535.3    824.5  5.342e-04  3.440e-01  0.2130  1.15e-07
 1136    1.136   1534.5    824.2  5.346e-04  3.438e-01  0.2124  9.80e-08
 1137    1.137   1533.5    823.9  5.351e-04  3.434e-01  0.2118  6.15e-08
 1138    1.138   1532.5    823.6  5.355e-04  3.423e-01  0.2112  3.10e-08
 1139    1.139   1531.3    823.3  5.359e-04  3.405e-01  0.2106  7.57e-09
 1140    1.140   1530.1    823.0  5.363e-04  3.387e-01  0.2101  5.01e-08
 1141    1.141   1528.8    822.7  5.367e-04  3.368e-01  0.2095  7.91e-08
 1142    1.142   1527.5    822.4  5.370e-04  3.343e-01  0.2090  1.04e-07
 1143    1.143   1526.1    822.1  5.374e-04  3.319e-01  0.2085  1.34e-07
 1144    1.144   1524.6    821.8  5.377e-04  3.284e-01  0.2080  1.53e-07
 1145    1.145   1523.1    821.5  5.380e-04  3.246e-01  0.2076  1.92e-07
 1146    1.146   1521.6    821.2  5.383e-04  3.210e-01  0.2072  2.27e-07
 1147    1.147   1520.1    821.0  5.387e-04  3.180e-01  0.2067  2.48e-07
 1148    1.148   1518.6    820.7  5.390e-04  3.149e-01  0.2063  2.48e-07
 1149    1.149   1517.1    820.4  5.394e-04  3.118e-01  0.2058  2.49e-07
 1150    1.150   1515.6    820.1  5.398e-04  3.092e-01  0.2053  2.51e-07
 1151    1.151   1514.1    819.8  5.402e-04  3.058e-01  0.2049  2.39e-07
 1152    1.152   1513.1    819.5  5.405e-04  3.023e-01  0.2045  2.50e-07
 1153    1.153   1512.4    819.2  5.408e-04  2.990e-01  0.2041  2.61e-07
 1154    1.154   1511.6    818.9  5.411e-04  2.962e-01  0.2037  2.63e-07
 1155    1.155   1510.9    818.6  5.415e-04  2.943e-01  0.2033  2.53e-07
 1156    1.156   1510.1    818.3  5.420e-04  2.938e-01  0.2028  2.23e-07
 1157    1.157   1509.4    818.0  5.426e-04  2.940e-01  0.2022  1.69e-07
 1158    1.158   1508.6    817.8  5.432e-04  2.957e-01  0.2015  1.15e-07
 1159    1.159   1507.9    817.5  5.441e-04  3.000e-01  0.2007  4.27e-08
 1160    1.160   1507.3    817.2  5.451e-04  3.061e-01  0.1996  7.31e-08
 1161    1.161   1506.7    816.9  5.461e-04  3.115e-01  0.1985  1.96e-07
 1162    1.162   1507.5    816.6  5.470e-04  3.159e-01  0.1975  2.63e-07
 1163    1.163   1508.7    816.3  5.478e-04  3.193e-01  0.1965  2.86e-07
 1164    1.164   1515.6    816.0  5.486e-04  3.222e-01  0.1956  2.81e-07
 1165    1.165   1530.0    815.7  5.493e-04  3.245e-01  0.1948  2.61e-07
 1166    1.166   1537.1    815.5  5.499e-04  3.265e-01  0.1940  2.35e-07
 1167    1.167   1539.5    815.2  5.505e-04  3.281e-01  0.1932  2.11e-07
 1168    1.168   1539.0    814.9  5.511e-04  3.298e-01  0.1924  1.84e-07
 1169    1.169   1538.0    814.6  5.517e-04  3.317e-01  0.1917  1.67e-07
 1170    1.170   1536.8    814.3  5.524e-04  3.339e-01  0.1908  1.59e-07
 1171    1.171   1536.0    814.0  5.530e-04  3.355e-01  0.1901  1.61e-07
 1172    1.172   1536.0    813.8  5.536e-04  3.369e-01  0.1893  1.48e-07
 1173    1.173   1535.8    813.5  5.542e-04  3.378e-01  0.1886  1.35e-07
 1174    1.174   1535.2    813.2  5.547e-04  3.386e-01  0.1879  1.15e-07
 1175    1.175   1534.4    812.9  5.552e-04  3.383e-01  0.1872  9.52e-08
 1176    1.176   1533.4    812.6  5.556e-04  3.379e-01  0.1866  5.71e-08
 1177    1.177   1532.3    812.3  5.560e-04  3.365e-01  0.1860  2.97e-08
 1178    1.178   1531.1    812.1  5.564e-04  3.346e-01  0.1854  1.49e-08
 1179    1.179   1529.9    811.8  5.568e-04  3.329e-01  0.1849  5.71e-08
 1180    1.180   1528.5    811.5  5.572e-04  3.309e-01  0.1844  8.23e-08
 1181    1.181   1527.2    811.2  5.575e-04  3.284e-01  0.1838  1.09e-07
 1182    1.182   1525.8    810.9  5.579e-04  3.256e-01  0.1833  1.37e-07
 1183    1.183   1524.3    810.7  5.582e-04  3.220e-01  0.1829  1.63e-07
 1184    1.184   1522.9    810.4  5.585e-04  3.183e-01  0.1825  2.01e-07
 1185    1.185   1521.3    810.1  5.588e-04  3.147e-01  0.1821  2.32e-07
 1186    1.186   1519.8    809.8  5.592e-04  3.120e-01  0.1816  2.48e-07
 1187    1.187   1518.3    809.5  5.596e-04  3.089e-01  0.1811  2.41e-07
 1188    1.188   1516.8    809.3  5.599e-04  3.059e-01  0.1807  2.44e-07
 1189    1.189   1515.3    809.0  5.603e-04  3.030e-01  0.1802  2.42e-07
 1190    1.190   1513.9    808.7  5.607e-04  2.996e-01  0.1798  2.40e-07
 1191    1.191   1512.9    808.4  5.610e-04  2.961e-01  0.1794  2.51e-07
 1192    1.192   1512.1    808.1  5.613e-04  2.929e-01  0.1790  2.60e-07
 1193    1.193   1511.4    807.9  5.616e-04  2.903e-01  0.1786  2.60e-07
 1194    1.194   1510.6    807.6  5.621e-04  2.886e-01  0.1782  2.46e-07
 1195    1.195   1509.9    807.3  5.626e-04  2.884e-01  0.1776  2.12e-07
 1196    1.196   1509.1    807.0  5.631e-04  2.886e-01  0.1770  1.55e-07
 1197    1.197   1508.4    806.7  5.638e-04  2.905e-01  0.1764  1.04e-07
 1198    1.198   1507.7    806.5  5.646e-04  2.946e-01  0.1755  2.93e-08
 1199    1.199   1507.1    806.2  5.657e-04  3.006e-01  0.1744  7.47e-08
 1200    1.200   1506.5    805.9  5.667e-04  3.058e-01  0.1734  1.93e-07
 1201    1.201   1507.4    805.6  5.676e-04  3.102e-01  0.1723  2.57e-07
 1202    1.202   1508.6    805.4  5.684e-04  3.136e-01  0.1714  2.81e-07
 1203    1.203   1516.1    805.1  5.692e-04  3.165e-01  0.1705  2.76e-07
 1204    1.204   1530.3    804.8  5.698e-04  3.187e-01  0.1697  2.58e-07
 1205    1.205   1537.2    804.5  5.705e-04  3.209e-01  0.1688  2.32e-07
 1206    1.206   1539.5    804.3  5.711e-04  3.227e-01  0.1681  2.11e-07
 1207    1.207   1538.9    804.0  5.717e-04  3.244e-01  0.1673  1.87e-07
 1208    1.208   1537.9    803.7  5.724e-04  3.266e-01  0.1665  1.71e-07
 1209    1.209   1536.7    803.4  5.730e-04  3.287e-01  0.1657  1.68e-07
 1210    1.210   1535.9    803.2  5.737e-04  3.305e-01  0.1649  1.64e-07
 1211    1.211   1535.9    802.9  5.743e-04  3.320e-01  0.1641  1.55e-07
 1212    1.212   1535.7    802.6  5.748e-04  3.327e-01  0.1634  1.42e-07
 1213    1.213   1535.1    802.3  5.753e-04  3.332e-01  0.1627  1.13e-07
 1214    1.214   1534.3    802.1  5.758e-04  3.329e-01  0.1620  8.85e-08
 1215    1.215   1533.3    801.8  5.763e-04  3.323e-01  0.1614  5.25e-08
 1216    1.216   1532.1    801.5  5.766e-04  3.308e-01  0.1608  2.24e-08
 1217    1.217   1531.0    801.3  5.770e-04  3.289e-01  0.1603  2.30e-08
 1218    1.218   1529.7    801.0  5.774e-04  3.273e-01  0.1598  6.28e-08
 1219    1.219   1528.3    800.7  5.778e-04  3.250e-01  0.1592  8.40e-08
 1220    1.220   1527.0    800.5  5.782e-04  3.226e-01  0.1587  1.13e-07
 1221    1.221   1525.5    800.2  5.785e-04  3.196e-01  0.1582  1.37e-07
 1222    1.222   1524.1    799.9  5.788e-04  3.159e-01  0.1578  1.69e-07
 1223    1.223   1522.6    799.6  5.791e-04  3.122e-01  0.1574  2.07e-07
 1224    1.224   1521.1    799.4  5.794e-04  3.089e-01  0.1570  2.34e-07
 1225    1.225   1519.6    799.1  5.798e-04  3.062e-01  0.1565  2.45e-07
 1226    1.226   1518.0    798.8  5.802e-04  3.031e-01  0.1560  2.35e-07
 1227    1.227   1516.5    798.6  5.806e-04  3.004e-01  0.1555  2.38e-07
 1228    1.228   1515.1    798.3  5.810e-04  2.973e-01  0.1551  2.32e-07
 1229    1.229   1513.7    798.0  5.813e-04  2.938e-01  0.1547  2.39e-07
 1230    1.230   1512.7    797.8  5.816e-04  2.903e-01  0.1543  2.51e-07
 1231    1.231   1511.9    797.5  5.819e-04  2.872e-01  0.1539  2.59e-07
 1232    1.232   1511.2    797.2  5.823e-04  2.847e-01  0.1535  2.56e-07
 1233    1.233   1510.4    797.0  5.827e-04  2.834e-01  0.1531  2.39e-07
 1234    1.234   1509.7    796.7  5.833e-04  2.831e-01  0.1525  2.01e-07
 1235    1.235   1508.9    796.4  5.838e-04  2.835e-01  0.1519  1.49e-07
 1236    1.236   1508.2    796.2  5.845e-04  2.856e-01  0.1512  9.60e-08
 1237    1.237   1507.5    795.9  5.853e-04  2.895e-01  0.1504  1.73e-08
 1238    1.238   1506.8    795.6  5.864e-04  2.953e-01  0.1493  7.71e-08
 1239    1.239   1506.3    795.4  5.873e-04  3.004e-01  0.1483  1.90e-07
 1240    1.240   1507.3    795.1  5.883e-04  3.048e-01  0.1472  2.52e-07
 1241    1.241   1508.5    794.8  5.891e-04  3.082e-01  0.1463  2.76e-07
 1242    1.242   1516.5    794.6  5.899e-04  3.111e-01  0.1454  2.71e-07
 1243    1.243   1530.5    794.3  5.905e-04  3.133e-01  0.1445  2.55e-07
 1244    1.244   1537.3    794.0  5.912e-04  3.156e-01  0.1437  2.29e-07
 1245    1.245   1539.5    793.8  5.919e-04  3.175e-01  0.1429  2.12e-07
 1246    1.246   1538.8    793.5  5.925e-04  3.193e-01  0.1421  1.91e-07
 1247    1.247   1537.9    793.2  5.932e-04  3.218e-01  0.1413  1.74e-07
 1248    1.248   1536.7    793.0  5.938e-04  3.238e-01  0.1405  1.77e-07
 1249    1.249   1535.9    792.7  5.944e-04  3.259e-01  0.1397  1.69e-07
 1250    1.250   1535.9    792.5  5.950e-04  3.271e-01  0.1389  1.64e-07
 1251    1.251   1535.6    792.2  5.956e-04  3.276e-01  0.1382  1.42e-07
 1252    1.252   1535.0    791.9  5.961e-04  3.279e-01  0.1375  1.08e-07
 1253    1.253   1534.2    791.7  5.965e-04  3.277e-01  0.1369  8.16e-08
 1254    1.254   1533.2    791.4  5.970e-04  3.269e-01  0.1363  4.86e-08
 1255    1.255   1532.0    791.2  5.974e-04  3.252e-01  0.1357  1.37e-08
 1256    1.256   1530.8    790.9  5.977e-04  3.233e-01  0.1352  3.14e-08
 1257    1.257   1529.5    790.6  5.981e-04  3.218e-01  0.1346  6.80e-08
 1258    1.258   1528.2    790.4  5.985e-04  3.195e-01  0.1341  8.52e-08
 1259    1.259   1526.7    790.1  5.989e-04  3.171e-01  0.1336  1.15e-07
 1260    1.260   1525.3    789.9  5.993e-04  3.139e-01  0.1331  1.37e-07
 1261    1.261   1523.9    789.6  5.995e-04  3.102e-01  0.1327  1.74e-07
 1262    1.262   1522.4    789.3  5.998e-04  3.065e-01  0.1323  2.10e-07
 1263    1.263   1520.8    789.1  6.002e-04  3.033e-01  0.1319  2.34e-07
 1264    1.264   1519.3    788.8  6.006e-04  3.006e-01  0.1314  2.40e-07
 1265    1.265   1517.8    788.6  6.009e-04  2.977e-01  0.1309  2.33e-07
 1266    1.266   1516.3    788.3  6.014e-04  2.951e-01  0.1304  2.33e-07
