Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s] iter  Tmax[K]  Tvent[K]  Pchamber[kPa]  Pfield[Pa]  Uexit[m/s]  Uvent0D[m/s]  K2CO3[kg]  meanYfu  SMAX
   15    0.015    1   1593.7    791.6       103.90      -0.05  -6.752e-03   6.620e+01  1.240e-05  0.9938  8.17e-05
   16    0.016    1   1579.6    782.0       103.88      -0.00  -1.619e-02   6.711e+01  1.235e-05  0.9937  1.06e-05
   17    0.017    1   1554.1    772.8       103.75      -0.03  -3.970e-03   6.653e+01  1.228e-05  0.9936  4.35e-05
   18    0.018    1   1523.9    764.2       103.57      -0.05   2.403e-02   6.473e+01  1.218e-05  0.9935  6.82e-05
   19    0.019    1   1490.6    756.4       103.38      -0.05   5.826e-02   6.222e+01  1.202e-05  0.9934  6.49e-05
   20    0.020    1   1453.9    749.4       103.24      -0.01   8.864e-02   5.967e+01  1.181e-05  0.9933  3.91e-05
   21    0.021    1   1415.9    743.1       103.18       0.04   1.075e-01   5.770e+01  1.157e-05  0.9932  3.59e-06
   22    0.022    1   1378.5    737.0       103.19       0.07   1.117e-01   5.669e+01  1.131e-05  0.9931  3.14e-05
   23    0.023    1   1343.4    730.9       103.26       0.08   1.032e-01   5.665e+01  1.106e-05  0.9930  5.07e-05
   24    0.024    1   1311.7    724.8       103.33       0.08   8.756e-02   5.720e+01  1.084e-05  0.9930  5.34e-05
   25    0.025    1   1283.8    718.8       103.38       0.07   7.163e-02   5.786e+01  1.066e-05  0.9929  4.00e-05
   26    0.026    1   1259.4    713.0       103.39       0.08   6.077e-02   5.824e+01  1.051e-05  0.9928  1.76e-05
   27    0.027    1   1237.8    707.4       103.36       0.10   5.742e-02   5.812e+01  1.038e-05  0.9928  6.13e-06
   28    0.028    1   1218.2    702.2       103.30       0.10   6.098e-02   5.752e+01  1.027e-05  0.9927  1.92e-05
   29    0.029    1   1200.1    697.5       103.23       0.11   6.858e-02   5.660e+01  1.016e-05  0.9926  2.30e-05
   30    0.030    1   1183.2    693.2       103.17       0.13   7.645e-02   5.560e+01  1.005e-05  0.9925  1.75e-05
   31    0.031    1   1167.4    689.2       103.14       0.16   8.138e-02   5.476e+01  9.938e-06  0.9925  6.18e-06
   32    0.032    1   1153.0    685.6       103.14       0.19   8.170e-02   5.423e+01  9.830e-06  0.9924  6.03e-06
   33    0.033    1   1140.0    682.2       103.15       0.20   7.762e-02   5.405e+01  9.728e-06  0.9923  1.46e-05
   34    0.034    1   1128.9    679.0       103.17       0.22   7.084e-02   5.410e+01  9.637e-06  0.9923  1.71e-05
   35    0.035    1   1119.4    676.1       103.19       0.23   6.366e-02   5.424e+01  9.560e-06  0.9922  1.36e-05
   36    0.036    1   1111.4    673.3       103.19       0.24   5.802e-02   5.431e+01  9.497e-06  0.9922  6.53e-06
   37    0.037    1   1104.6    670.8       103.18       0.26   5.492e-02   5.423e+01  9.444e-06  0.9921  1.89e-06
   38    0.038    1   1098.8    668.6       103.16       0.27   5.425e-02   5.399e+01  9.399e-06  0.9920  6.06e-06
   39    0.039    1   1093.6    666.6       103.13       0.28   5.505e-02   5.366e+01  9.358e-06  0.9920  7.59e-06
   40    0.040    1   1089.0    664.9       103.11       0.29   5.601e-02   5.330e+01  9.320e-06  0.9919  5.73e-06
   >> t=0.040 s | 2-D flow: m_gen=+8.01e-04 m_vent=+4.93e-04 kg/s/m (Pfield=0.3 Pa) | chamber: Mdot_gen=+3.60e-01 mdot_vent=+3.60e-01 kg/s/m -> dP=+2.11 kPa
   41    0.041    1   1084.8    663.4       103.11       0.31   5.604e-02   5.302e+01  9.284e-06  0.9918  1.88e-06
   42    0.042    1   1081.2    662.1       103.10       0.33   5.460e-02   5.285e+01  9.251e-06  0.9918  2.15e-06
   43    0.043    1   1078.1    661.0       103.11       0.34   5.181e-02   5.280e+01  9.221e-06  0.9917  4.82e-06
   44    0.044    1   1075.7    660.0       103.12       0.35   4.827e-02   5.283e+01  9.197e-06  0.9917  5.36e-06
   45    0.045    1   1073.8    659.2       103.12       0.37   4.475e-02   5.289e+01  9.178e-06  0.9916  4.00e-06
   46    0.046    1   1072.3    658.5       103.12       0.38   4.188e-02   5.292e+01  9.165e-06  0.9916  1.57e-06
   47    0.047    1   1071.3    657.9       103.12       0.39   3.994e-02   5.290e+01  9.156e-06  0.9915  1.23e-06
   48    0.048    1   1070.5    657.4       103.11       0.40   3.885e-02   5.284e+01  9.151e-06  0.9914  2.41e-06
   49    0.049    1   1070.0    657.1       103.11       0.41   3.824e-02   5.275e+01  9.149e-06  0.9914  2.70e-06
   50    0.050    1   1069.4    654.0       103.10       0.42   3.755e-02   5.255e+01  9.139e-06  0.9913  1.82e-06
   51    0.051    1   1068.9    651.4       103.09       0.43   3.715e-02   5.235e+01  9.131e-06  0.9913  1.75e-06
   52    0.052    1   1068.6    649.2       103.08       0.43   3.701e-02   5.215e+01  9.127e-06  0.9913  1.76e-06
   53    0.053    1   1068.3    647.4       103.07       0.45   3.691e-02   5.196e+01  9.125e-06  0.9912  1.29e-06
   54    0.054    1   1068.2    646.0       103.07       0.46   3.661e-02   5.180e+01  9.125e-06  0.9912  5.52e-07
   55    0.055    1   1068.2    644.8       103.06       0.47   3.594e-02   5.168e+01  9.127e-06  0.9911  6.50e-07
   56    0.056    1   1068.3    643.9       103.06       0.48   3.488e-02   5.161e+01  9.132e-06  0.9911  1.46e-06
   57    0.057    1   1068.5    643.2       103.06       0.48   3.353e-02   5.157e+01  9.139e-06  0.9910  1.80e-06
   58    0.058    1   1068.9    642.8       103.06       0.50   3.207e-02   5.156e+01  9.150e-06  0.9910  1.63e-06
   59    0.059    1   1069.5    642.5       103.06       0.51   3.069e-02   5.156e+01  9.163e-06  0.9909  1.09e-06
   60    0.060    1   1070.1    642.3       103.06       0.52   2.949e-02   5.156e+01  9.178e-06  0.9909  4.81e-07
   61    0.061    1   1070.8    642.3       103.06       0.52   2.851e-02   5.156e+01  9.196e-06  0.9908  4.51e-07
   62    0.062    1   1071.6    642.5       103.06       0.53   2.769e-02   5.156e+01  9.217e-06  0.9908  5.11e-07
   63    0.063    1   1072.4    642.8       103.06       0.54   2.694e-02   5.157e+01  9.239e-06  0.9907  4.67e-07
   64    0.064    1   1073.2    643.2       103.06       0.55   2.617e-02   5.159e+01  9.264e-06  0.9907  3.93e-07
   65    0.065    1   1074.1    643.7       103.07       0.55   2.533e-02   5.162e+01  9.290e-06  0.9906  3.83e-07
   66    0.066    1   1075.0    644.4       103.07       0.56   2.443e-02   5.168e+01  9.319e-06  0.9905  3.74e-07
   67    0.067    1   1076.0    645.1       103.07       0.57   2.350e-02   5.174e+01  9.350e-06  0.9905  3.89e-07
   68    0.068    1   1077.0    645.9       103.08       0.57   2.260e-02   5.182e+01  9.383e-06  0.9904  4.17e-07
   69    0.069    1   1078.0    646.9       103.08       0.58   2.179e-02   5.190e+01  9.419e-06  0.9904  4.52e-07
   70    0.070    1   1079.1    647.9       103.08       0.59   2.110e-02   5.198e+01  9.457e-06  0.9903  4.98e-07
   71    0.071    1   1080.1    648.9       103.09       0.59   2.053e-02   5.207e+01  9.499e-06  0.9902  5.58e-07
   72    0.072    1   1081.2    650.1       103.09       0.60   2.005e-02   5.215e+01  9.543e-06  0.9901  6.39e-07
   73    0.073    1   1082.4    651.3       103.09       0.60   1.964e-02   5.225e+01  9.592e-06  0.9901  7.49e-07
   74    0.074    1   1083.5    652.6       103.10       0.61   1.928e-02   5.235e+01  9.645e-06  0.9900  8.96e-07
   75    0.075    1   1084.7    653.9       103.10       0.61   1.895e-02   5.245e+01  9.705e-06  0.9899  1.09e-06
   76    0.076    1   1086.1    655.4       103.11       0.62   1.868e-02   5.257e+01  9.772e-06  0.9898  1.35e-06
   77    0.077    1   1087.5    656.9       103.12       0.62   1.849e-02   5.270e+01  9.849e-06  0.9897  1.65e-06
   78    0.078    1   1089.1    658.4       103.12       0.63   1.841e-02   5.283e+01  9.939e-06  0.9895  1.93e-06
   79    0.079    1   1094.7    660.1       103.13       0.64   1.846e-02   5.297e+01  1.004e-05  0.9894  1.98e-06
   80    0.080    1   1134.5    661.9       103.13       0.64   1.850e-02   5.311e+01  1.014e-05  0.9893  1.40e-06
   >> t=0.080 s | 2-D flow: m_gen=+2.64e-04 m_vent=+1.55e-04 kg/s/m (Pfield=0.6 Pa) | chamber: Mdot_gen=+3.60e-01 mdot_vent=+3.60e-01 kg/s/m -> dP=+2.13 kPa
   81    0.081    1   1154.8    663.7       103.14       0.65   1.859e-02   5.326e+01  1.024e-05  0.9891  1.87e-06
   82    0.082    1   1164.2    665.6       103.15       0.65   1.878e-02   5.341e+01  1.034e-05  0.9889  2.41e-06
   83    0.083    1   1168.0    667.6       103.15       0.66   1.907e-02   5.357e+01  1.045e-05  0.9888  2.63e-06
   84    0.084    1   1170.8    669.7       103.16       0.66   1.918e-02   5.373e+01  1.054e-05  0.9886  1.47e-06
   85    0.085    1   1191.3    671.7       103.17       0.67   1.925e-02   5.389e+01  1.062e-05  0.9885  1.37e-06
   86    0.086    1   1198.4    673.9       103.17       0.67   1.932e-02   5.406e+01  1.069e-05  0.9884  1.68e-06
   87    0.087    1   1197.9    676.0       103.18       0.68   1.942e-02   5.423e+01  1.077e-05  0.9882  2.10e-06
   88    0.088    1   1193.5    678.1       103.19       0.68   1.956e-02   5.440e+01  1.085e-05  0.9881  2.42e-06
   89    0.089    1   1187.4    680.2       103.19       0.69   1.967e-02   5.457e+01  1.093e-05  0.9880  1.50e-06
   90    0.090    1   1180.8    682.3       103.20       0.69   1.963e-02   5.474e+01  1.099e-05  0.9878  9.08e-07
   91    0.091    1   1174.3    684.4       103.21       0.70   1.954e-02   5.491e+01  1.104e-05  0.9877  1.30e-06
   92    0.092    1   1175.4    686.5       103.21       0.70   1.944e-02   5.507e+01  1.108e-05  0.9877  1.45e-06
   93    0.093    1   1172.6    688.5       103.22       0.71   1.935e-02   5.522e+01  1.111e-05  0.9876  1.35e-06
   94    0.094    1   1167.0    690.5       103.22       0.71   1.924e-02   5.537e+01  1.114e-05  0.9875  1.17e-06
   95    0.095    1   1160.3    692.4       103.23       0.72   1.913e-02   5.552e+01  1.117e-05  0.9874  9.58e-07
   96    0.096    1   1153.4    694.2       103.24       0.72   1.900e-02   5.567e+01  1.120e-05  0.9873  7.61e-07
